"Assessed","Assessor","question1","question2","dimension","answer"
"Stacey-Anne Greenig","Marjiwra Clowe","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Nadelena Ala"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Stacey-Anne Greenig","Nadelena Ala"," ","Up to 3 things the person should improve","",""
"Stacey-Anne Greenig","Nadelena Ala"," ","Up to 3 things the person should keep doing","","Financial models work great!"
"Stacey-Anne Greenig","Nadelena Ala"," ","Spaceholder","",""
"Stacey-Anne Greenig","Nadelena Ala"," ","Spaceholder","",""
"Stacey-Anne Greenig","Nadelena Ala"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Nadelena Ala"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Nadelena Ala","1. This person proactively works on solutions."," ","Current Performance","5"
"Stacey-Anne Greenig","Nadelena Ala","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Nadelena Ala","2. This person makes the team more effective."," ","Current Performance","5"
"Stacey-Anne Greenig","Nadelena Ala","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Nadelena Ala","3. This person delivers results that align with the project or team's needs."," ","Current Performance","6"
"Stacey-Anne Greenig","Nadelena Ala","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Nadelena Ala","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","5"
"Stacey-Anne Greenig","Nadelena Ala","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Nadelena Ala","5. On my next project I would like to work with this person again."," ","Current Performance","2"
"Stacey-Anne Greenig","Nadelena Ala","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Peta Karmazin"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Peta Karmazin"," ","Up to 3 things the person should improve","","More data analysis skills!"
"Stacey-Anne Greenig","Peta Karmazin"," ","Up to 3 things the person should keep doing","","Data-analysis is great!"
"Stacey-Anne Greenig","Peta Karmazin"," ","Spaceholder","",""
"Stacey-Anne Greenig","Peta Karmazin"," ","Spaceholder","",""
"Stacey-Anne Greenig","Peta Karmazin"," ","Spaceholder","",""
"Stacey-Anne Greenig","Peta Karmazin"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Peta Karmazin","1. This person proactively works on solutions."," ","Current Performance","5"
"Stacey-Anne Greenig","Peta Karmazin","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Peta Karmazin","2. This person makes the team more effective."," ","Current Performance","1"
"Stacey-Anne Greenig","Peta Karmazin","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Peta Karmazin","3. This person delivers results that align with the project or team's needs."," ","Current Performance","6"
"Stacey-Anne Greenig","Peta Karmazin","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Peta Karmazin","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","3"
"Stacey-Anne Greenig","Peta Karmazin","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Peta Karmazin","5. On my next project I would like to work with this person again."," ","Current Performance","6"
"Stacey-Anne Greenig","Peta Karmazin","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Metin Buntyn"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Metin Buntyn"," ","Up to 3 things the person should improve","","Align more with team"
"Stacey-Anne Greenig","Metin Buntyn"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Stacey-Anne Greenig","Metin Buntyn"," ","Spaceholder","",""
"Stacey-Anne Greenig","Metin Buntyn"," ","Spaceholder","",""
"Stacey-Anne Greenig","Metin Buntyn"," ","Spaceholder","",""
"Stacey-Anne Greenig","Metin Buntyn"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Metin Buntyn","1. This person proactively works on solutions."," ","Current Performance","1"
"Stacey-Anne Greenig","Metin Buntyn","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Metin Buntyn","2. This person makes the team more effective."," ","Current Performance","2"
"Stacey-Anne Greenig","Metin Buntyn","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Metin Buntyn","3. This person delivers results that align with the project or team's needs."," ","Current Performance","6"
"Stacey-Anne Greenig","Metin Buntyn","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Metin Buntyn","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","3"
"Stacey-Anne Greenig","Metin Buntyn","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Metin Buntyn","5. On my next project I would like to work with this person again."," ","Current Performance","2"
"Stacey-Anne Greenig","Metin Buntyn","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Graym Renollet"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Graym Renollet"," ","Up to 3 things the person should improve","","Align more with team"
"Stacey-Anne Greenig","Graym Renollet"," ","Up to 3 things the person should keep doing","",""
"Stacey-Anne Greenig","Graym Renollet"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Graym Renollet"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Graym Renollet"," ","Spaceholder","",""
"Stacey-Anne Greenig","Graym Renollet"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Graym Renollet","1. This person proactively works on solutions."," ","Current Performance","2"
"Stacey-Anne Greenig","Graym Renollet","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Graym Renollet","2. This person makes the team more effective."," ","Current Performance","5"
"Stacey-Anne Greenig","Graym Renollet","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Graym Renollet","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Stacey-Anne Greenig","Graym Renollet","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Graym Renollet","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Stacey-Anne Greenig","Graym Renollet","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Graym Renollet","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Stacey-Anne Greenig","Graym Renollet","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Weru Shifflette"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Stacey-Anne Greenig","Weru Shifflette"," ","Up to 3 things the person should improve","","No improvements, awesome work"
"Stacey-Anne Greenig","Weru Shifflette"," ","Up to 3 things the person should keep doing","",""
"Stacey-Anne Greenig","Weru Shifflette"," ","Spaceholder","",""
"Stacey-Anne Greenig","Weru Shifflette"," ","Spaceholder","",""
"Stacey-Anne Greenig","Weru Shifflette"," ","Spaceholder","",""
"Stacey-Anne Greenig","Weru Shifflette"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Weru Shifflette","1. This person proactively works on solutions."," ","Current Performance","2"
"Stacey-Anne Greenig","Weru Shifflette","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Weru Shifflette","2. This person makes the team more effective."," ","Current Performance","1"
"Stacey-Anne Greenig","Weru Shifflette","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Weru Shifflette","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Stacey-Anne Greenig","Weru Shifflette","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Weru Shifflette","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","5"
"Stacey-Anne Greenig","Weru Shifflette","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Weru Shifflette","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Stacey-Anne Greenig","Weru Shifflette","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Lilian Goodmon"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Lilian Goodmon"," ","Up to 3 things the person should improve","",""
"Stacey-Anne Greenig","Lilian Goodmon"," ","Up to 3 things the person should keep doing","","I really like how you set up meetings"
"Stacey-Anne Greenig","Lilian Goodmon"," ","Spaceholder","",""
"Stacey-Anne Greenig","Lilian Goodmon"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Lilian Goodmon"," ","Spaceholder","",""
"Stacey-Anne Greenig","Lilian Goodmon"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Lilian Goodmon","1. This person proactively works on solutions."," ","Current Performance","1"
"Stacey-Anne Greenig","Lilian Goodmon","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Lilian Goodmon","2. This person makes the team more effective."," ","Current Performance","5"
"Stacey-Anne Greenig","Lilian Goodmon","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Lilian Goodmon","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Stacey-Anne Greenig","Lilian Goodmon","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Lilian Goodmon","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","7"
"Stacey-Anne Greenig","Lilian Goodmon","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Lilian Goodmon","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Stacey-Anne Greenig","Lilian Goodmon","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Catronia Finocchi"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Catronia Finocchi"," ","Up to 3 things the person should improve","","No improvement is necessary"
"Stacey-Anne Greenig","Catronia Finocchi"," ","Up to 3 things the person should keep doing","","Keep on working the way you do!"
"Stacey-Anne Greenig","Catronia Finocchi"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Catronia Finocchi"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Catronia Finocchi"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Catronia Finocchi"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Catronia Finocchi","1. This person proactively works on solutions."," ","Current Performance","5"
"Stacey-Anne Greenig","Catronia Finocchi","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Catronia Finocchi","2. This person makes the team more effective."," ","Current Performance","4"
"Stacey-Anne Greenig","Catronia Finocchi","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Catronia Finocchi","3. This person delivers results that align with the project or team's needs."," ","Current Performance","3"
"Stacey-Anne Greenig","Catronia Finocchi","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Catronia Finocchi","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","4"
"Stacey-Anne Greenig","Catronia Finocchi","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Catronia Finocchi","5. On my next project I would like to work with this person again."," ","Current Performance","6"
"Stacey-Anne Greenig","Catronia Finocchi","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Dyann Woodhurst"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Dyann Woodhurst"," ","Up to 3 things the person should improve","",""
"Stacey-Anne Greenig","Dyann Woodhurst"," ","Up to 3 things the person should keep doing","",""
"Stacey-Anne Greenig","Dyann Woodhurst"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Dyann Woodhurst"," ","Spaceholder","",""
"Stacey-Anne Greenig","Dyann Woodhurst"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Dyann Woodhurst"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Dyann Woodhurst","1. This person proactively works on solutions."," ","Current Performance","2"
"Stacey-Anne Greenig","Dyann Woodhurst","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Dyann Woodhurst","2. This person makes the team more effective."," ","Current Performance","7"
"Stacey-Anne Greenig","Dyann Woodhurst","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Dyann Woodhurst","3. This person delivers results that align with the project or team's needs."," ","Current Performance","5"
"Stacey-Anne Greenig","Dyann Woodhurst","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Dyann Woodhurst","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Stacey-Anne Greenig","Dyann Woodhurst","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Dyann Woodhurst","5. On my next project I would like to work with this person again."," ","Current Performance","2"
"Stacey-Anne Greenig","Dyann Woodhurst","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Stacey-Anne Greenig","Carlanne Gelbard"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Stacey-Anne Greenig","Carlanne Gelbard"," ","Up to 3 things the person should improve","","Nothing to improve, great work"
"Stacey-Anne Greenig","Carlanne Gelbard"," ","Up to 3 things the person should keep doing","","Data-analysis is great!"
"Stacey-Anne Greenig","Carlanne Gelbard"," ","Spaceholder","",""
"Stacey-Anne Greenig","Carlanne Gelbard"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Carlanne Gelbard"," ","Spaceholder",""," "
"Stacey-Anne Greenig","Carlanne Gelbard"," ","Your relationship to the person being assessed","","Peer"
"Stacey-Anne Greenig","Carlanne Gelbard","1. This person proactively works on solutions."," ","Current Performance","4"
"Stacey-Anne Greenig","Carlanne Gelbard","1. This person proactively works on solutions."," ","Desired Performance",""
"Stacey-Anne Greenig","Carlanne Gelbard","2. This person makes the team more effective."," ","Current Performance","2"
"Stacey-Anne Greenig","Carlanne Gelbard","2. This person makes the team more effective."," ","Desired Performance",""
"Stacey-Anne Greenig","Carlanne Gelbard","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Stacey-Anne Greenig","Carlanne Gelbard","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Stacey-Anne Greenig","Carlanne Gelbard","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Stacey-Anne Greenig","Carlanne Gelbard","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Stacey-Anne Greenig","Carlanne Gelbard","5. On my next project I would like to work with this person again."," ","Current Performance","7"
"Stacey-Anne Greenig","Carlanne Gelbard","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Laureen Jagtiani","Stacey-Anne Greenig"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Laureen Jagtiani","Stacey-Anne Greenig"," ","Up to 3 things the person should improve","",""
"Laureen Jagtiani","Stacey-Anne Greenig"," ","Up to 3 things the person should keep doing","",""
"Laureen Jagtiani","Stacey-Anne Greenig"," ","Spaceholder",""," "
"Laureen Jagtiani","Stacey-Anne Greenig"," ","Spaceholder",""," "
"Laureen Jagtiani","Stacey-Anne Greenig"," ","Spaceholder","",""
"Laureen Jagtiani","Stacey-Anne Greenig"," ","Your relationship to the person being assessed","","Peer"
"Laureen Jagtiani","Stacey-Anne Greenig","1. This person proactively works on solutions."," ","Current Performance","5"
"Laureen Jagtiani","Stacey-Anne Greenig","1. This person proactively works on solutions."," ","Desired Performance",""
"Laureen Jagtiani","Stacey-Anne Greenig","2. This person makes the team more effective."," ","Current Performance","1"
"Laureen Jagtiani","Stacey-Anne Greenig","2. This person makes the team more effective."," ","Desired Performance",""
"Laureen Jagtiani","Stacey-Anne Greenig","3. This person delivers results that align with the project or team's needs."," ","Current Performance","2"
"Laureen Jagtiani","Stacey-Anne Greenig","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Laureen Jagtiani","Stacey-Anne Greenig","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","4"
"Laureen Jagtiani","Stacey-Anne Greenig","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Laureen Jagtiani","Stacey-Anne Greenig","5. On my next project I would like to work with this person again."," ","Current Performance","2"
"Laureen Jagtiani","Stacey-Anne Greenig","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Laureen Jagtiani","Marjiwra Clowe"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Laureen Jagtiani","Marjiwra Clowe"," ","Up to 3 things the person should improve","",""
"Laureen Jagtiani","Marjiwra Clowe"," ","Up to 3 things the person should keep doing","",""
"Laureen Jagtiani","Marjiwra Clowe"," ","Spaceholder","",""
"Laureen Jagtiani","Marjiwra Clowe"," ","Spaceholder","",""
"Laureen Jagtiani","Marjiwra Clowe"," ","Spaceholder",""," "
"Laureen Jagtiani","Marjiwra Clowe"," ","Your relationship to the person being assessed","","Peer"
"Laureen Jagtiani","Marjiwra Clowe","1. This person proactively works on solutions."," ","Current Performance","7"
"Laureen Jagtiani","Marjiwra Clowe","1. This person proactively works on solutions."," ","Desired Performance",""
"Laureen Jagtiani","Marjiwra Clowe","2. This person makes the team more effective."," ","Current Performance","4"
"Laureen Jagtiani","Marjiwra Clowe","2. This person makes the team more effective."," ","Desired Performance",""
"Laureen Jagtiani","Marjiwra Clowe","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Laureen Jagtiani","Marjiwra Clowe","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Laureen Jagtiani","Marjiwra Clowe","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","4"
"Laureen Jagtiani","Marjiwra Clowe","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Laureen Jagtiani","Marjiwra Clowe","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Laureen Jagtiani","Marjiwra Clowe","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Laureen Jagtiani","Nadelena Ala"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Laureen Jagtiani","Nadelena Ala"," ","Up to 3 things the person should improve","","More data analysis skills!"
"Laureen Jagtiani","Nadelena Ala"," ","Up to 3 things the person should keep doing","",""
"Laureen Jagtiani","Nadelena Ala"," ","Spaceholder","",""
"Laureen Jagtiani","Nadelena Ala"," ","Spaceholder","",""
"Laureen Jagtiani","Nadelena Ala"," ","Spaceholder","",""
"Laureen Jagtiani","Nadelena Ala"," ","Your relationship to the person being assessed","","Peer"
"Laureen Jagtiani","Nadelena Ala","1. This person proactively works on solutions."," ","Current Performance","5"
"Laureen Jagtiani","Nadelena Ala","1. This person proactively works on solutions."," ","Desired Performance",""
"Laureen Jagtiani","Nadelena Ala","2. This person makes the team more effective."," ","Current Performance","4"
"Laureen Jagtiani","Nadelena Ala","2. This person makes the team more effective."," ","Desired Performance",""
"Laureen Jagtiani","Nadelena Ala","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Laureen Jagtiani","Nadelena Ala","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Laureen Jagtiani","Nadelena Ala","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Laureen Jagtiani","Nadelena Ala","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Laureen Jagtiani","Nadelena Ala","5. On my next project I would like to work with this person again."," ","Current Performance","7"
"Laureen Jagtiani","Nadelena Ala","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Laureen Jagtiani","Peta Karmazin"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Laureen Jagtiani","Peta Karmazin"," ","Up to 3 things the person should improve","",""
"Laureen Jagtiani","Peta Karmazin"," ","Up to 3 things the person should keep doing","","I really like how you set up meetings"
"Laureen Jagtiani","Peta Karmazin"," ","Spaceholder","",""
"Laureen Jagtiani","Peta Karmazin"," ","Spaceholder","",""
"Laureen Jagtiani","Peta Karmazin"," ","Spaceholder",""," "
"Laureen Jagtiani","Peta Karmazin"," ","Your relationship to the person being assessed","","Peer"
"Laureen Jagtiani","Peta Karmazin","1. This person proactively works on solutions."," ","Current Performance","7"
"Laureen Jagtiani","Peta Karmazin","1. This person proactively works on solutions."," ","Desired Performance",""
"Laureen Jagtiani","Peta Karmazin","2. This person makes the team more effective."," ","Current Performance","4"
"Laureen Jagtiani","Peta Karmazin","2. This person makes the team more effective."," ","Desired Performance",""
"Laureen Jagtiani","Peta Karmazin","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Laureen Jagtiani","Peta Karmazin","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Laureen Jagtiani","Peta Karmazin","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Laureen Jagtiani","Peta Karmazin","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Laureen Jagtiani","Peta Karmazin","5. On my next project I would like to work with this person again."," ","Current Performance","2"
"Laureen Jagtiani","Peta Karmazin","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Laureen Jagtiani","Metin Buntyn"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Laureen Jagtiani","Metin Buntyn"," ","Up to 3 things the person should improve","","More data analysis skills!"
"Laureen Jagtiani","Metin Buntyn"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Laureen Jagtiani","Metin Buntyn"," ","Spaceholder","",""
"Laureen Jagtiani","Metin Buntyn"," ","Spaceholder","",""
"Laureen Jagtiani","Metin Buntyn"," ","Spaceholder",""," "
"Laureen Jagtiani","Metin Buntyn"," ","Your relationship to the person being assessed","","Peer"
"Laureen Jagtiani","Metin Buntyn","1. This person proactively works on solutions."," ","Current Performance","4"
"Laureen Jagtiani","Metin Buntyn","1. This person proactively works on solutions."," ","Desired Performance",""
"Laureen Jagtiani","Metin Buntyn","2. This person makes the team more effective."," ","Current Performance","5"
"Laureen Jagtiani","Metin Buntyn","2. This person makes the team more effective."," ","Desired Performance",""
"Laureen Jagtiani","Metin Buntyn","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Laureen Jagtiani","Metin Buntyn","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Laureen Jagtiani","Metin Buntyn","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","5"
"Laureen Jagtiani","Metin Buntyn","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Laureen Jagtiani","Metin Buntyn","5. On my next project I would like to work with this person again."," ","Current Performance","5"
"Laureen Jagtiani","Metin Buntyn","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Laureen Jagtiani","Graym Renollet"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Laureen Jagtiani","Graym Renollet"," ","Up to 3 things the person should improve","","No improvements, awesome work"
"Laureen Jagtiani","Graym Renollet"," ","Up to 3 things the person should keep doing","","I really like how you set up meetings"
"Laureen Jagtiani","Graym Renollet"," ","Spaceholder",""," "
"Laureen Jagtiani","Graym Renollet"," ","Spaceholder",""," "
"Laureen Jagtiani","Graym Renollet"," ","Spaceholder","",""
"Laureen Jagtiani","Graym Renollet"," ","Your relationship to the person being assessed","","Peer"
"Laureen Jagtiani","Graym Renollet","1. This person proactively works on solutions."," ","Current Performance","1"
"Laureen Jagtiani","Graym Renollet","1. This person proactively works on solutions."," ","Desired Performance",""
"Laureen Jagtiani","Graym Renollet","2. This person makes the team more effective."," ","Current Performance","2"
