"Assessed","Assessor","question1","question2","dimension","answer"
"Kenna Strelec","Jordi Delso","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Kenna Strelec","Jordi Delso","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Jordi Delso","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","6"
"Kenna Strelec","Jordi Delso","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Jordi Delso","5. On my next project I would like to work with this person again."," ","Current Performance","7"
"Kenna Strelec","Jordi Delso","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Averoes Cores"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Kenna Strelec","Averoes Cores"," ","Up to 3 things the person should improve","","No improvements, awesome work"
"Kenna Strelec","Averoes Cores"," ","Up to 3 things the person should keep doing","","Keep on working the way you do!"
"Kenna Strelec","Averoes Cores"," ","Spaceholder",""," "
"Kenna Strelec","Averoes Cores"," ","Spaceholder","",""
"Kenna Strelec","Averoes Cores"," ","Spaceholder",""," "
"Kenna Strelec","Averoes Cores"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Averoes Cores","1. This person proactively works on solutions."," ","Current Performance","7"
"Kenna Strelec","Averoes Cores","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Averoes Cores","2. This person makes the team more effective."," ","Current Performance","2"
"Kenna Strelec","Averoes Cores","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Averoes Cores","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Kenna Strelec","Averoes Cores","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Averoes Cores","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","3"
"Kenna Strelec","Averoes Cores","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Averoes Cores","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Kenna Strelec","Averoes Cores","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Mara Allgyer"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Kenna Strelec","Mara Allgyer"," ","Up to 3 things the person should improve","",""
"Kenna Strelec","Mara Allgyer"," ","Up to 3 things the person should keep doing","","I really like how you set up meetings"
"Kenna Strelec","Mara Allgyer"," ","Spaceholder",""," "
"Kenna Strelec","Mara Allgyer"," ","Spaceholder",""," "
"Kenna Strelec","Mara Allgyer"," ","Spaceholder","",""
"Kenna Strelec","Mara Allgyer"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Mara Allgyer","1. This person proactively works on solutions."," ","Current Performance","5"
"Kenna Strelec","Mara Allgyer","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Mara Allgyer","2. This person makes the team more effective."," ","Current Performance","3"
"Kenna Strelec","Mara Allgyer","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Mara Allgyer","3. This person delivers results that align with the project or team's needs."," ","Current Performance","3"
"Kenna Strelec","Mara Allgyer","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Mara Allgyer","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Kenna Strelec","Mara Allgyer","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Mara Allgyer","5. On my next project I would like to work with this person again."," ","Current Performance","5"
"Kenna Strelec","Mara Allgyer","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Karleen Dobyns"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Kenna Strelec","Karleen Dobyns"," ","Up to 3 things the person should improve","","No improvement is necessary"
"Kenna Strelec","Karleen Dobyns"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Kenna Strelec","Karleen Dobyns"," ","Spaceholder","",""
"Kenna Strelec","Karleen Dobyns"," ","Spaceholder","",""
"Kenna Strelec","Karleen Dobyns"," ","Spaceholder","",""
"Kenna Strelec","Karleen Dobyns"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Karleen Dobyns","1. This person proactively works on solutions."," ","Current Performance","7"
"Kenna Strelec","Karleen Dobyns","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Karleen Dobyns","2. This person makes the team more effective."," ","Current Performance","5"
"Kenna Strelec","Karleen Dobyns","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Karleen Dobyns","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Kenna Strelec","Karleen Dobyns","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Karleen Dobyns","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","6"
"Kenna Strelec","Karleen Dobyns","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Karleen Dobyns","5. On my next project I would like to work with this person again."," ","Current Performance","5"
"Kenna Strelec","Karleen Dobyns","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Ron Durda"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Kenna Strelec","Ron Durda"," ","Up to 3 things the person should improve","","Align more with team"
"Kenna Strelec","Ron Durda"," ","Up to 3 things the person should keep doing","","Keep on working the way you do!"
"Kenna Strelec","Ron Durda"," ","Spaceholder","",""
"Kenna Strelec","Ron Durda"," ","Spaceholder",""," "
"Kenna Strelec","Ron Durda"," ","Spaceholder","",""
"Kenna Strelec","Ron Durda"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Ron Durda","1. This person proactively works on solutions."," ","Current Performance","5"
"Kenna Strelec","Ron Durda","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Ron Durda","2. This person makes the team more effective."," ","Current Performance","1"
"Kenna Strelec","Ron Durda","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Ron Durda","3. This person delivers results that align with the project or team's needs."," ","Current Performance","3"
"Kenna Strelec","Ron Durda","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Ron Durda","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","4"
"Kenna Strelec","Ron Durda","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Ron Durda","5. On my next project I would like to work with this person again."," ","Current Performance","5"
"Kenna Strelec","Ron Durda","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Kenna Strelec","Suzana Spink"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Kenna Strelec","Suzana Spink"," ","Up to 3 things the person should improve","",""
"Kenna Strelec","Suzana Spink"," ","Up to 3 things the person should keep doing","","Keep on working the way you do!"
"Kenna Strelec","Suzana Spink"," ","Spaceholder","",""
"Kenna Strelec","Suzana Spink"," ","Spaceholder","",""
"Kenna Strelec","Suzana Spink"," ","Spaceholder","",""
"Kenna Strelec","Suzana Spink"," ","Your relationship to the person being assessed","","Peer"
"Kenna Strelec","Suzana Spink","1. This person proactively works on solutions."," ","Current Performance","7"
"Kenna Strelec","Suzana Spink","1. This person proactively works on solutions."," ","Desired Performance",""
"Kenna Strelec","Suzana Spink","2. This person makes the team more effective."," ","Current Performance","2"
"Kenna Strelec","Suzana Spink","2. This person makes the team more effective."," ","Desired Performance",""
"Kenna Strelec","Suzana Spink","3. This person delivers results that align with the project or team's needs."," ","Current Performance","2"
"Kenna Strelec","Suzana Spink","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Kenna Strelec","Suzana Spink","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","5"
"Kenna Strelec","Suzana Spink","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Kenna Strelec","Suzana Spink","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Kenna Strelec","Suzana Spink","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Kenna Strelec"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Deanna Chopp","Kenna Strelec"," ","Up to 3 things the person should improve","","More data analysis skills!"
"Deanna Chopp","Kenna Strelec"," ","Up to 3 things the person should keep doing","",""
"Deanna Chopp","Kenna Strelec"," ","Spaceholder","",""
"Deanna Chopp","Kenna Strelec"," ","Spaceholder","",""
"Deanna Chopp","Kenna Strelec"," ","Spaceholder",""," "
"Deanna Chopp","Kenna Strelec"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Kenna Strelec","1. This person proactively works on solutions."," ","Current Performance","1"
"Deanna Chopp","Kenna Strelec","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Kenna Strelec","2. This person makes the team more effective."," ","Current Performance","5"
"Deanna Chopp","Kenna Strelec","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Kenna Strelec","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Deanna Chopp","Kenna Strelec","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Kenna Strelec","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Deanna Chopp","Kenna Strelec","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Kenna Strelec","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Deanna Chopp","Kenna Strelec","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Sadiah Deigado"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Deanna Chopp","Sadiah Deigado"," ","Up to 3 things the person should improve","",""
"Deanna Chopp","Sadiah Deigado"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Deanna Chopp","Sadiah Deigado"," ","Spaceholder","",""
"Deanna Chopp","Sadiah Deigado"," ","Spaceholder",""," "
"Deanna Chopp","Sadiah Deigado"," ","Spaceholder","",""
"Deanna Chopp","Sadiah Deigado"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Sadiah Deigado","1. This person proactively works on solutions."," ","Current Performance","3"
"Deanna Chopp","Sadiah Deigado","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Sadiah Deigado","2. This person makes the team more effective."," ","Current Performance","6"
"Deanna Chopp","Sadiah Deigado","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Sadiah Deigado","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Deanna Chopp","Sadiah Deigado","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Sadiah Deigado","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","4"
"Deanna Chopp","Sadiah Deigado","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Sadiah Deigado","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Deanna Chopp","Sadiah Deigado","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Anne-Maree Koeber"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Deanna Chopp","Anne-Maree Koeber"," ","Up to 3 things the person should improve","","No improvement is necessary"
"Deanna Chopp","Anne-Maree Koeber"," ","Up to 3 things the person should keep doing","","Keep on working the way you do!"
"Deanna Chopp","Anne-Maree Koeber"," ","Spaceholder","",""
"Deanna Chopp","Anne-Maree Koeber"," ","Spaceholder",""," "
"Deanna Chopp","Anne-Maree Koeber"," ","Spaceholder","",""
"Deanna Chopp","Anne-Maree Koeber"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Anne-Maree Koeber","1. This person proactively works on solutions."," ","Current Performance","7"
"Deanna Chopp","Anne-Maree Koeber","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Anne-Maree Koeber","2. This person makes the team more effective."," ","Current Performance","2"
"Deanna Chopp","Anne-Maree Koeber","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Anne-Maree Koeber","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Deanna Chopp","Anne-Maree Koeber","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Anne-Maree Koeber","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Deanna Chopp","Anne-Maree Koeber","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Anne-Maree Koeber","5. On my next project I would like to work with this person again."," ","Current Performance","7"
"Deanna Chopp","Anne-Maree Koeber","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Jordi Delso"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Deanna Chopp","Jordi Delso"," ","Up to 3 things the person should improve","","Nothing to improve, great work"
"Deanna Chopp","Jordi Delso"," ","Up to 3 things the person should keep doing","",""
"Deanna Chopp","Jordi Delso"," ","Spaceholder","",""
"Deanna Chopp","Jordi Delso"," ","Spaceholder","",""
"Deanna Chopp","Jordi Delso"," ","Spaceholder","",""
"Deanna Chopp","Jordi Delso"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Jordi Delso","1. This person proactively works on solutions."," ","Current Performance","4"
"Deanna Chopp","Jordi Delso","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Jordi Delso","2. This person makes the team more effective."," ","Current Performance","1"
"Deanna Chopp","Jordi Delso","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Jordi Delso","3. This person delivers results that align with the project or team's needs."," ","Current Performance","6"
"Deanna Chopp","Jordi Delso","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Jordi Delso","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","1"
"Deanna Chopp","Jordi Delso","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Jordi Delso","5. On my next project I would like to work with this person again."," ","Current Performance","7"
"Deanna Chopp","Jordi Delso","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Averoes Cores"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Deanna Chopp","Averoes Cores"," ","Up to 3 things the person should improve","","Align more with team"
"Deanna Chopp","Averoes Cores"," ","Up to 3 things the person should keep doing","",""
"Deanna Chopp","Averoes Cores"," ","Spaceholder",""," "
"Deanna Chopp","Averoes Cores"," ","Spaceholder",""," "
"Deanna Chopp","Averoes Cores"," ","Spaceholder","",""
"Deanna Chopp","Averoes Cores"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Averoes Cores","1. This person proactively works on solutions."," ","Current Performance","5"
"Deanna Chopp","Averoes Cores","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Averoes Cores","2. This person makes the team more effective."," ","Current Performance","4"
"Deanna Chopp","Averoes Cores","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Averoes Cores","3. This person delivers results that align with the project or team's needs."," ","Current Performance","1"
"Deanna Chopp","Averoes Cores","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Averoes Cores","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","4"
"Deanna Chopp","Averoes Cores","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Averoes Cores","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Deanna Chopp","Averoes Cores","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Mara Allgyer"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Deanna Chopp","Mara Allgyer"," ","Up to 3 things the person should improve","","Align more with team"
"Deanna Chopp","Mara Allgyer"," ","Up to 3 things the person should keep doing","","Data-analysis is great!"
"Deanna Chopp","Mara Allgyer"," ","Spaceholder","",""
"Deanna Chopp","Mara Allgyer"," ","Spaceholder","",""
"Deanna Chopp","Mara Allgyer"," ","Spaceholder","",""
"Deanna Chopp","Mara Allgyer"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Mara Allgyer","1. This person proactively works on solutions."," ","Current Performance","5"
"Deanna Chopp","Mara Allgyer","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Mara Allgyer","2. This person makes the team more effective."," ","Current Performance","7"
"Deanna Chopp","Mara Allgyer","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Mara Allgyer","3. This person delivers results that align with the project or team's needs."," ","Current Performance","7"
"Deanna Chopp","Mara Allgyer","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Mara Allgyer","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","6"
"Deanna Chopp","Mara Allgyer","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Mara Allgyer","5. On my next project I would like to work with this person again."," ","Current Performance","6"
"Deanna Chopp","Mara Allgyer","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Karleen Dobyns"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Deanna Chopp","Karleen Dobyns"," ","Up to 3 things the person should improve","","More data analysis skills!"
"Deanna Chopp","Karleen Dobyns"," ","Up to 3 things the person should keep doing","",""
"Deanna Chopp","Karleen Dobyns"," ","Spaceholder",""," "
"Deanna Chopp","Karleen Dobyns"," ","Spaceholder",""," "
"Deanna Chopp","Karleen Dobyns"," ","Spaceholder",""," "
"Deanna Chopp","Karleen Dobyns"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Karleen Dobyns","1. This person proactively works on solutions."," ","Current Performance","7"
"Deanna Chopp","Karleen Dobyns","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Karleen Dobyns","2. This person makes the team more effective."," ","Current Performance","1"
"Deanna Chopp","Karleen Dobyns","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Karleen Dobyns","3. This person delivers results that align with the project or team's needs."," ","Current Performance","6"
"Deanna Chopp","Karleen Dobyns","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Karleen Dobyns","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","5"
"Deanna Chopp","Karleen Dobyns","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Karleen Dobyns","5. On my next project I would like to work with this person again."," ","Current Performance","5"
"Deanna Chopp","Karleen Dobyns","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Ron Durda"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","Yes"
"Deanna Chopp","Ron Durda"," ","Up to 3 things the person should improve","",""
"Deanna Chopp","Ron Durda"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Deanna Chopp","Ron Durda"," ","Spaceholder",""," "
"Deanna Chopp","Ron Durda"," ","Spaceholder","",""
"Deanna Chopp","Ron Durda"," ","Spaceholder",""," "
"Deanna Chopp","Ron Durda"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Ron Durda","1. This person proactively works on solutions."," ","Current Performance","1"
"Deanna Chopp","Ron Durda","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Ron Durda","2. This person makes the team more effective."," ","Current Performance","3"
"Deanna Chopp","Ron Durda","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Ron Durda","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Deanna Chopp","Ron Durda","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Ron Durda","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","7"
"Deanna Chopp","Ron Durda","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Ron Durda","5. On my next project I would like to work with this person again."," ","Current Performance","4"
"Deanna Chopp","Ron Durda","5. On my next project I would like to work with this person again."," ","Desired Performance",""
"Deanna Chopp","Suzana Spink"," ","I worked closely enough with this person and feel confident to provide feedback to him/her","","No"
"Deanna Chopp","Suzana Spink"," ","Up to 3 things the person should improve","","No improvement is necessary"
"Deanna Chopp","Suzana Spink"," ","Up to 3 things the person should keep doing","","Your upskilling is great"
"Deanna Chopp","Suzana Spink"," ","Spaceholder","",""
"Deanna Chopp","Suzana Spink"," ","Spaceholder",""," "
"Deanna Chopp","Suzana Spink"," ","Spaceholder","",""
"Deanna Chopp","Suzana Spink"," ","Your relationship to the person being assessed","","Peer"
"Deanna Chopp","Suzana Spink","1. This person proactively works on solutions."," ","Current Performance","3"
"Deanna Chopp","Suzana Spink","1. This person proactively works on solutions."," ","Desired Performance",""
"Deanna Chopp","Suzana Spink","2. This person makes the team more effective."," ","Current Performance","4"
"Deanna Chopp","Suzana Spink","2. This person makes the team more effective."," ","Desired Performance",""
"Deanna Chopp","Suzana Spink","3. This person delivers results that align with the project or team's needs."," ","Current Performance","4"
"Deanna Chopp","Suzana Spink","3. This person delivers results that align with the project or team's needs."," ","Desired Performance",""
"Deanna Chopp","Suzana Spink","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Current Performance","2"
"Deanna Chopp","Suzana Spink","4. This person demonstrates up-to-date knowledge relevant to their role in the team/ project."," ","Desired Performance",""
"Deanna Chopp","Suzana Spink","5. On my next project I would like to work with this person again."," ","Current Performance","3"
"Deanna Chopp","Suzana Spink","5. On my next project I would like to work with this person again."," ","Desired Performance",""
